수신지역,월,count
강남구,2,3
강남구,3,6
강남구,4,11
강남구,5,2
강남구,7,5
강남구,8,1
송파구,2,5
송파구,3,15
송파구,4,8
송파구,5,8
송파구,6,9
송파구,7,18
송파구,8,21
서초구,2,1
서초구,3,2
서초구,4,9
서초구,5,6
서초구,6,3
서초구,7,1
서초구,8,3
영등포구,2,2
영등포구,3,16
영등포구,4,6
영등포구,5,11
영등포구,6,17
영등포구,7,6
영등포구,8,21
마포구,2,2
마포구,3,4
마포구,8,1
강서구,2,2
강서구,3,3
강서구,5,1
구로구,5,2
구로구,6,19
구로구,7,5
구로구,8,18
용산구,3,10
용산구,4,8
용산구,5,10
용산구,6,9
용산구,7,4
용산구,8,21
