수신지역,월,count
강남구,2,3
강남구,3,6
강남구,4,11
송파구,2,5
송파구,3,15
송파구,4,8
서초구,2,1
서초구,3,2
서초구,4,9
영등포구,2,2
영등포구,3,16
영등포구,4,6
마포구,2,2
마포구,3,4
강서구,2,2
강서구,3,3
용산구,3,10
용산구,4,8
